prior(0,0919062832800852).
trusts(755,1031).
trusts(347,582).
trusts(1177,465).
trusts(358,153).
trusts(1181,297).
trusts(755,1064).
trusts(771,481).
trusts(769,554).
trusts(352,429).
trusts(1565,1440).
trusts(1594,370).
trusts(352,412).
trusts(1186,148).
trusts(360,123).
trusts(362,48).
trusts(1146,1634).
trusts(776,194).
trusts(1160,1154).
trusts(362,92).
trusts(362,93).
trusts(1188,100).
trusts(769,433).
trusts(363,33).
trusts(357,266).
trusts(775,265).
trusts(1597,194).
trusts(362,128).
trusts(347,681).
trusts(1988,1634).
trusts(779,98).
trusts(358,247).
trusts(365,1).
trusts(364,36).
trusts(1584,653).
trusts(777,96).
trusts(353,492).
trusts(358,307).
trusts(365,40).
trusts(1981,1941).
trusts(365,29).
trusts(1181,173).
trusts(365,33).
trusts(1984,1820).
trusts(1182,127).
trusts(365,25).
trusts(755,893).
trusts(352,563).
trusts(366,44).
trusts(765,566).
trusts(336,1143).
trusts(366,33).
trusts(365,60).
trusts(366,29).
trusts(1581,878).
trusts(1991,1635).
trusts(352,587).
trusts(1172,577).
trusts(1156,1168).
trusts(355,468).
trusts(1165,830).
trusts(757,756).
trusts(362,206).
trusts(367,14).
trusts(366,54).
trusts(365,86).
trusts(1184,117).
trusts(365,136).
trusts(746,1208).
trusts(1992,1634).
trusts(364,172).
trusts(365,135).
trusts(775,132).
trusts(766,463).
trusts(365,130).
trusts(365,128).
trusts(771,274).
trusts(365,127).
trusts(755,856).
trusts(765,388).
trusts(746,1096).
trusts(337,681).
trusts(746,1100).
trusts(1191,197).
trusts(1580,1101).
trusts(1193,127).
trusts(756,757).
trusts(353,126).
trusts(353,128).
trusts(351,203).
trusts(1183,522).
trusts(766,290).
trusts(349,293).
trusts(336,774).
trusts(1192,220).
trusts(746,1037).
trusts(746,1046).
trusts(336,791).
trusts(310,1764).
trusts(341,614).
trusts(1598,388).
trusts(349,330).
trusts(353,176).
trusts(336,819).
trusts(1176,839).
trusts(1186,481).
trusts(769,226).
trusts(772,127).
trusts(755,750).
trusts(355,127).
trusts(1186,483).
trusts(336,838).
trusts(1150,1572).
trusts(761,434).
trusts(720,1941).
trusts(755,653).
trusts(1167,981).
trusts(1606,290).
trusts(755,686).
trusts(748,946).
trusts(1194,1).
trusts(769,172).
trusts(355,194).
trusts(762,434).
trusts(1186,287).
trusts(1175,719).
trusts(768,92).
trusts(746,905).
trusts(330,1127).
trusts(352,334).
trusts(1605,239).
trusts(768,127).
trusts(1193,75).
trusts(1146,1842).
trusts(358,150).
trusts(1178,655).
trusts(771,36).
trusts(354,291).
trusts(336,960).
trusts(746,957).
trusts(761,396).
trusts(720,1915).
trusts(365,463).
trusts(368,352).
trusts(1583,1283).
trusts(377,17).
trusts(755,1564).
trusts(370,266).
trusts(794,128).
trusts(797,12).
trusts(370,240).
trusts(336,1494).
trusts(779,667).
trusts(1612,179).
trusts(336,1504).
trusts(365,410).
trusts(1176,994).
trusts(375,36).
trusts(773,872).
trusts(375,49).
trusts(755,1462).
trusts(366,437).
trusts(755,1472).
trusts(372,330).
trusts(376,181).
trusts(792,86).
trusts(792,80).
trusts(755,1443).
trusts(337,1608).
trusts(370,388).
trusts(1186,525).
trusts(782,415).
trusts(762,1143).
trusts(1186,494).
trusts(771,801).
trusts(370,468).
trusts(755,1390).
trusts(792,14).
trusts(370,463).
trusts(792,4).
trusts(792,1).
trusts(380,72).
trusts(380,71).
trusts(365,612).
trusts(381,25).
trusts(755,1345).
trusts(788,127).
trusts(1610,293).
trusts(337,1634).
trusts(1210,20).
trusts(368,92).
trusts(365,197).
trusts(1622,99).
trusts(1980,1634).
trusts(782,330).
trusts(368,39).
trusts(1208,75).
trusts(782,284).
trusts(1979,1634).
trusts(1208,80).
trusts(1208,85).
trusts(365,172).
trusts(366,135).
trusts(365,173).
trusts(362,365).
trusts(350,811).
trusts(368,150).
trusts(370,80).
trusts(785,155).
trusts(349,863).
trusts(1617,222).
trusts(746,1602).
trusts(336,1285).
trusts(1211,20).
trusts(353,667).
trusts(755,1214).
trusts(785,109).
trusts(369,83).
trusts(369,86).
trusts(1198,519).
trusts(369,172).
trusts(1983,1635).
trusts(357,612).
trusts(370,128).
trusts(1195,452).
trusts(746,1511).
trusts(353,752).
trusts(373,14).
trusts(1622,200).
trusts(782,199).
trusts(755,1199).
trusts(366,287).
trusts(362,401).
trusts(1165,1536).
trusts(746,1488).
trusts(365,284).
trusts(782,150).
trusts(368,167).
trusts(370,93).
trusts(369,128).
trusts(773,507).
trusts(1186,771).
trusts(748,1421).
trusts(782,164).
trusts(748,1422).
trusts(373,86).
trusts(1178,1154).
trusts(1178,1142).
trusts(773,445).
trusts(370,191).
trusts(782,117).
trusts(373,107).
trusts(365,388).
trusts(755,1128).
trusts(771,494).
trusts(370,162).
trusts(332,1588).
trusts(366,328).
trusts(773,440).
trusts(755,1097).
trusts(370,172).
trusts(1622,121).
trusts(755,1095).
trusts(365,362).
trusts(334,109).
trusts(1161,98).
trusts(336,30).
trusts(1586,1587).
trusts(321,576).
trusts(314,835).
trusts(283,1985).
trusts(321,575).
trusts(1988,584).
trusts(801,274).
trusts(1587,1586).
trusts(1607,834).
trusts(334,127).
trusts(334,120).
trusts(328,341).
trusts(322,563).
trusts(2000,169).
trusts(809,8).
trusts(1146,590).
trusts(334,40).
trusts(810,29).
trusts(792,698).
trusts(332,117).
trusts(810,20).
trusts(803,284).
trusts(314,766).
trusts(330,177).
trusts(1994,297).
trusts(1607,854).
trusts(1607,906).
trusts(792,727).
trusts(1988,575).
